web-scraper-order,web-scraper-start-url,player,team,postion,value,popularity
"1623004963-430","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Robert Taylor","Finland","Midtbane","2.500.000","0,1%"
"1623004963-242","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Juraj Kucka","Slovakiet","Midtbane","3.500.000","0,1%"
"1623004963-6","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Raheem Sterling","England","Angreb","7.500.000","0,7%"
"1623004963-479","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Eduard Sobol","Ukraine","Forsvar","2.500.000","0,1%"
"1623004963-278","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Jack Grealish","England","Angreb","3.500.000","2,2%"
"1623004963-157","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Sergio Oliveira","Portugal","Midtbane","4.000.000","0,5%"
"1623004963-176","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Burak Yilmaz","Tyrkiet","Angreb","4.000.000","8,5%"
"1623004963-226","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Marten de Roon","Holland","Midtbane","3.500.000","0,8%"
"1623004963-555","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Maksim Mukhin","Rusland","Midtbane","2.000.000","0,1%"
"1623004963-146","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Federico Bernardeschi","Italien","Midtbane","4.000.000","0,8%"
"1623004963-598","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Denis Vavro","Slovakiet","Forsvar","2.000.000","0,2%"
"1623004963-329","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Kamil Glik","Polen","Forsvar","3.000.000","1,4%"
"1623004963-270","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Yury Dyupin","Rusland","Mål","3.500.000","0,1%"
"1623004963-420","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Jan Boril","Tjekkiet","Forsvar","2.500.000","0,2%"
"1623004963-450","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Boban Nikolov","Nordmakedonien","Midtbane","2.500.000","0,1%"
"1623004963-184","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Aaron Ramsey","Wales","Midtbane","4.000.000","0,2%"
"1623004963-446","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Visar Musliu","Nordmakedonien","Forsvar","2.500.000","0,1%"
"1623004963-496","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Dawid Kownacki","Polen","Angreb","2.500.000","0,1%"
"1623004963-49","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Dean Henderson","England","Mål","5.000.000","0,4%"
"1623004963-247","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Victor Lindelöf","Sverige","Forsvar","3.500.000","0,7%"
"1623004963-566","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Orkun Kokcu","Tyrkiet","Midtbane","2.000.000","0,2%"
"1623004963-588","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Ales Mateju","Tjekkiet","Forsvar","2.000.000","0,0%"
"1623004963-254","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Granit Xhaka","Schweiz","Midtbane","3.500.000","1,6%"
"1623004963-458","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Alexei Ionov","Rusland","Midtbane","2.500.000","0,1%"
"1623004963-134","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Teemu Pukki","Finland","Angreb","4.000.000","1,0%"
"1623004963-326","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Lukasz Skorupski","Polen","Mål","3.000.000","0,1%"
"1623004963-378","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Matvey Safonov","Rusland","Mål","3.000.000","0,1%"
"1623004963-431","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Nikolai Alho","Finland","Midtbane","2.500.000","0,1%"
"1623004963-167","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Emil Forsberg","Sverige","Midtbane","4.000.000","1,0%"
"1623004963-320","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Nemanja Nikolic","Ungarn","Angreb","3.000.000","0,1%"
"1623004963-257","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Ozan Tufan","Tyrkiet","Midtbane","3.500.000","0,8%"
"1623004963-381","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Marcus Thuram","Frankrig","Angreb","3.000.000","0,2%"
"1623004963-384","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Christian Günter","Tyskland","Forsvar","3.000.000","0,2%"
"1623004963-101","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Robert Sanchez","Spanien","Mål","4.500.000","0,1%"
"1623004963-562","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Jakub Hromada","Slovakiet","Midtbane","2.000.000","0,1%"
"1623004963-499","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Denis Makarov","Rusland","Midtbane","2.500.000","0,1%"
"1623004963-480","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Illia Zabarnyi","Ukraine","Forsvar","2.500.000","0,1%"
"1623004963-549","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Vlatko Stojanovski","Nordmakedonien","Angreb","2.000.000","0,1%"
"1623004963-532","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Chris Gunter","Wales","Forsvar","2.500.000","0,0%"
"1623004963-586","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Philipp Lienhart","Østrig","Forsvar","2.000.000","0,1%"
"1623004963-211","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Thomas Lemar","Frankrig","Angreb","3.500.000","0,3%"
"1623004963-177","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Georgiy Bushchan","Ukraine","Mål","4.000.000","0,3%"
"1623004963-454","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Maciej Rybus","Polen","Forsvar","2.500.000","0,8%"
"1623004963-535","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Valentino Lazaro","Østrig","Midtbane","2.000.000","8,0%"
"1623004963-72","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Toby Alderweireld","Belgien","Forsvar","4.500.000","2,2%"
"1623004963-307","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Mathias Jensen","Danmark","Midtbane","3.000.000","0,6%"
"1623004963-581","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Martin Olsson","Sverige","Forsvar","2.000.000","0,3%"
"1623004963-79","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Patrik Schick","Tjekkiet","Angreb","4.500.000","0,3%"
"1623004963-110","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Andriy Yarmolenko","Ukraine","Midtbane","4.500.000","0,4%"
"1623004963-509","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Mathias Zanka Jørgensen","Danmark","Forsvar","2.500.000","0,4%"
"1623004963-368","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Ozan Kabak","Tyrkiet","Forsvar","3.000.000","0,3%"
"1623004963-357","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Filip Helander","Sverige","Forsvar","3.000.000","0,1%"
"1623004963-597","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Milan Ristovski","Nordmakedonien","Angreb","2.000.000","0,1%"
"1623004963-139","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Ousmane Dembele","Frankrig","Angreb","4.000.000","3,0%"
"1623004963-518","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Vladimir Weiss","Slovakiet","Midtbane","2.500.000","0,1%"
"1623004963-419","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Pavel Kaderabek","Tjekkiet","Forsvar","2.500.000","0,1%"
"1623004963-37","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Georginio Wijnaldum","Holland","Midtbane","5.500.000","7,9%"
"1623004963-107","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Robin Olsen","Sverige","Mål","4.500.000","0,3%"
"1623004963-47","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Tomas Soucek","Tjekkiet","Midtbane","5.000.000","0,8%"
"1623004963-3","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Kylian Mbappe","Frankrig","Angreb","8.500.000","19,6%"
"1623004963-571","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Marcus Danielson","Sverige","Forsvar","2.000.000","0,3%"
"1623004963-551","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Pawel Dawidowicz","Polen","Forsvar","2.000.000","0,1%"
"1623004963-265","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Harry Wilson","Wales","Midtbane","3.500.000","0,4%"
"1623004963-22","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Christian Eriksen","Danmark","Midtbane","6.000.000","16,2%"
"1623004963-249","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Marcus Berg","Sverige","Angreb","3.500.000","0,3%"
"1623004963-194","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Borna Barisic","Kroatien","Forsvar","3.500.000","0,3%"
"1623004963-490","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Pontus Jansson","Sverige","Forsvar","2.500.000","0,1%"
"1623004963-131","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Andreas Skov Olsen","Danmark","Angreb","4.000.000","4,1%"
"1623004963-366","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Mario Gavranovic","Schweiz","Angreb","3.000.000","0,4%"
"1623004963-229","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Grzegorz Krychowiak","Polen","Midtbane","3.500.000","0,5%"
"1623004963-463","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Kevin Nisbet","Skotland","Angreb","2.500.000","0,1%"
"1623004963-400","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Giacomo Raspadori","Italien","Angreb","3.000.000","0,1%"
"1623004963-572","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Tymoteusz Puchacz","Polen","Forsvar","2.000.000","0,1%"
"1623004963-143","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Emerson Palmieri","Italien","Forsvar","4.000.000","0,9%"
"1623004963-75","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Christian Benteke","Belgien","Angreb","4.500.000","0,3%"
"1623004963-407","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Kerem Akturkoglu","Tyrkiet","Angreb","3.000.000","0,0%"
"1623004963-85","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Harry Maguire","England","Forsvar","4.500.000","2,2%"
"1623004963-185","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Pavao Pervan","Østrig","Mål","3.500.000","0,1%"
"1623004963-171","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Yann Sommer","Schweiz","Mål","4.000.000","1,8%"
"1623004963-594","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Darko Churlinov","Nordmakedonien","Midtbane","2.000.000","0,1%"
"1623004963-613","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Becir Omeragic","Schweiz","Forsvar","2.000.000","0,1%"
"1623004963-41","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Yannick Ferreira-Carrasco","Belgien","Midtbane","5.500.000","0,9%"
"1623004963-333","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Karol Swiderski","Polen","Angreb","3.000.000","0,1%"
"1623004963-619","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Rhys Norrington-Davies","Wales","Forsvar","2.000.000","0,1%"
"1623004963-486","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Joe Rodon","Wales","Forsvar","2.500.000","0,2%"
"1623004963-369","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Okay Yokuslu","Tyrkiet","Midtbane","3.000.000","0,2%"
"1623004963-106","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Gerard Moreno","Spanien","Angreb","4.500.000","1,8%"
"1623004963-230","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Nuno Mendes","Portugal","Forsvar","3.500.000","0,7%"
"1623004963-528","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Christian Fassnacht","Schweiz","Midtbane","2.500.000","0,2%"
"1623004963-300","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Tomas Holes","Tjekkiet","Forsvar","3.000.000","0,1%"
"1623004963-593","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Daniel Avramovski","Nordmakedonien","Midtbane","2.000.000","0,1%"
"1623004963-339","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Daler Kuzyaev","Rusland","Midtbane","3.000.000","0,1%"
"1623004963-104","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Thiago Alcantara","Spanien","Midtbane","4.500.000","2,6%"
"1623004963-522","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Janos Hahn","Ungarn","Angreb","2.500.000","0,1%"
"1623004963-119","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Jan Vertonghen","Belgien","Forsvar","4.000.000","4,4%"
"1623004963-69","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Marcus Rashford","England","Angreb","5.000.000","12,6%"
"1623004963-11","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Bruno Fernandes","Portugal","Midtbane","7.500.000","3,6%"
"1623004963-449","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Arijan Ademi","Nordmakedonien","Midtbane","2.500.000","0,1%"
"1623004963-328","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Michal Helik","Polen","Forsvar","3.000.000","0,2%"
"1623004963-359","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Mattias Svanberg","Sverige","Midtbane","3.000.000","0,1%"
"1623004963-573","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Przemyslaw Frankowski","Polen","Midtbane","2.000.000","0,2%"
"1623004963-100","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Ruben Dias","Portugal","Forsvar","4.500.000","7,1%"
"1623004963-28","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Ferran Torres","Spanien","Angreb","6.000.000","6,1%"
