web-scraper-order,web-scraper-start-url,player,team,postion,value,popularity
1624189734-2421,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Harry Kane,Rusland,Midtbane,1.998.000,"0,3%"
1624189734-1905,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Raheem Sterling,Belgien,Forsvar,5.346.000,"1,7%"
1624189734-1938,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Marcus Rashford,Kroatien,Angreb,4.623.000,"2,7%"
1624189734-2430,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Álvaro Morata,Nordmakedonien,Angreb,1.990.000,"0,1%"
1624189734-1989,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Jadon Sancho,Holland,Forsvar,4.097.000,"6,5%"
1624189734-1968,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Jack Grealish,Sverige,Mål,4.490.000,"0,0%"
1624189734-2065,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Ciro Immobile,Wales,Midtbane,3.566.000,"0,4%"
1624189734-1939,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new, F. Torres,Spanien,Forsvar,4.609.000,"5,8%"
1624189734-2437,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Mason Mount,Slovakiet,Forsvar,1.990.000,"0,0%"
1624189734-2036,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Phil Foden,Danmark,Angreb,3.984.000,"2,0%"
1624189734-2208,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Lorenzo Insigne,Danmark,Angreb,2.990.000,"0,8%"
1624189734-2282,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Mikel Oyarzabal,Finland,Forsvar,2.576.000,"0,0%"
1624189734-2416,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Federico Chiesa,Polen,Forsvar,2.007.000,"0,1%"
1624189734-1900,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Andrea Belotti,Belgien,Mål,5.490.000,"0,1%"
1624189734-2412,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Dani Olmo,Rusland,Midtbane,2.016.000,"0,1%"
1624189734-2130,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Gerard Moreno,Tyrkiet,Angreb,3.476.000,"0,3%"
1624189734-1962,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new, M. Llorente,Italien,Mål,4.490.000,"0,1%"
1624189734-2104,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Pablo Sarabia,Tyskland,Midtbane,3.490.000,"0,5%"
1624189734-2279,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Domenico Berardi,Italien,Forsvar,2.587.000,"0,4%"
1624189734-1867,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Bukayo Saka,Holland,Angreb,7.738.000,"17,1%"
1624189734-1952,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Dominic Calvert-Lewin,Kroatien,Mål,4.503.000,"0,8%"
1624189734-1889,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Koke,Tyskland,Midtbane,6.027.000,"0,4%"
1624189734-1936,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Martin Braithwaite,Italien,Forsvar,4.654.000,"2,3%"
1624189734-2197,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Nicolò Barella,Schweiz,Midtbane,2.999.000,"0,2%"
1624189734-1993,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Adama Traoré,Østrig,Angreb,4.080.000,"0,7%"
1624189734-2226,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Marco Verratti,Wales,Midtbane,2.990.000,"0,1%"
1624189734-2241,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Federico Bernardeschi,Schweiz,Forsvar,2.990.000,"0,0%"
1624189734-2140,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Jorginho,Slovakiet,Forsvar,3.241.000,"0,3%"
1624189734-2073,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Jordan Pickford,Sverige,Angreb,3.544.000,"0,5%"
1624189734-2195,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Kyle Walker,Polen,Forsvar,3.000.000,"0,1%"
1624189734-2247,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Jordan Henderson,Skotland,Midtbane,2.988.000,"0,8%"
1624189734-2285,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Thiago Alcantara,Tjekkiet,Angreb,2.554.000,"0,1%"
